z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,province,year,split
-1.1273265,-0.1450929,0.70362103,-0.3546539,-0.12394861,-0.57921576,0.3722721,0.7123253,-1.1851513,2.6416082,15 Monte Cristi,2018,train
-0.953067,0.53139675,1.6414835,-1.1646785,-0.037356474,-0.6603867,-0.33120537,-0.01850101,-0.82703406,1.0333437,15 Monte Cristi,2019,train
0.70758134,0.094217315,1.0938178,-0.40798697,-0.4778642,-0.34665173,0.90542185,1.1846893,-0.79044414,2.239904,15 Monte Cristi,2020,val
-0.061264813,-0.3107027,0.79382646,0.402143,0.010247637,0.027300358,0.24772906,0.7615072,-0.90247256,2.3772404,15 Monte Cristi,2021,val
-0.14601666,0.07969343,1.6326284,-0.2792302,-0.40949988,-0.0010145394,0.00030066565,-0.20263246,-0.9208048,1.4187984,15 Monte Cristi,2022,test
0.07543885,0.19847035,1.9006035,-0.75998086,-0.1780394,-0.70216715,-0.18435423,0.46651125,-1.5405084,0.9634467,15 Monte Cristi,2023,test
-1.0995075,1.3856573,2.1733563,-0.106413074,0.26672712,-0.077159554,-1.3547547,-0.17797805,0.94718236,2.2066176,16 Pedernales,2015,train
0.8298606,1.001264,1.1143358,-0.90601903,-1.4634758,-0.5730715,-0.21517943,0.6326116,0.9958855,2.465272,16 Pedernales,2016,train
0.8950077,-0.8351474,1.9105736,0.01092249,-1.9668779,-0.7948536,-1.977527,0.9905542,-1.0653077,1.6939945,16 Pedernales,2017,train
-1.4098716,-0.5961407,1.086539,0.020921035,-1.1281546,-0.92952526,-1.901594,0.35510302,-0.34703583,1.750547,16 Pedernales,2018,train
-0.56673354,0.53767896,2.147413,-1.3113198,-1.2528265,-1.5594362,-0.7052269,0.9309251,-0.073377125,0.9116772,16 Pedernales,2019,train
0.7112739,0.46530068,1.4231764,-0.6949819,-1.3606616,-0.8849729,-0.6020461,0.5210132,0.21230234,1.3616748,16 Pedernales,2020,val
-0.4188652,-0.6757697,1.3204157,0.194021,-1.7752765,-0.6120606,-2.008857,-0.2916725,-0.36869153,1.4391148,16 Pedernales,2021,val
0.08186079,0.097537234,1.2002517,-0.31858903,-1.2073191,-0.8194316,-0.7058779,0.32497728,0.0977539,1.4972978,16 Pedernales,2022,test
0.4317757,0.33115056,2.2897298,-0.2775264,-1.0659938,-1.1418887,-0.8024163,0.5751512,-0.3696957,1.0434592,16 Pedernales,2023,test
-1.174739,0.68730134,0.16493455,-0.016151754,0.9495331,0.26543027,0.6470364,-0.21561782,0.61107886,0.63644594,17 Peravia,2015,train
0.021725686,0.8034609,-0.104083955,-0.549084,-0.28798482,0.1472554,0.9489299,-0.83173007,0.7170366,0.43066207,17 Peravia,2016,train
0.5921496,-0.54792815,0.061393127,1.1477474,-0.5892927,-0.41413784,1.1606898,-0.5304552,-1.0978092,0.27834556,17 Peravia,2017,train
-0.52836263,-0.65609944,-1.2576205,1.6141515,-0.08802042,0.24991022,0.69194096,-0.12881947,-0.5491389,2.111348,17 Peravia,2018,train
-0.41270468,0.33675838,0.5994721,-0.18088375,0.306677,-0.81267667,0.5830272,-0.22700705,-0.5526232,-0.43066502,17 Peravia,2019,train
0.9818717,-0.08282162,-0.38301352,0.9067906,-0.15754142,0.00614869,1.382706,0.20779094,-0.33402875,1.0088577,17 Peravia,2020,val
-0.2648165,-0.2576079,-0.5332875,0.6015489,-0.23280793,-0.70597875,0.7164258,-0.65279144,-0.64699256,0.6144275,17 Peravia,2021,val
0.07175174,-0.3097472,-0.42646357,0.4955002,-0.44036987,-0.65360475,1.1666229,-0.42925107,-0.69031346,0.42250007,17 Peravia,2022,test
0.14819625,-0.18359312,-0.085448526,0.077731915,-0.21879344,-0.9907797,0.63998413,-0.074248575,-0.8960675,-0.05285646,17 Peravia,2023,test
-0.23400623,0.51755565,1.535401,0.097695395,1.4521761,1.1702194,0.24768333,-0.08501722,-0.65954685,0.5140107,18 Puerto Plata,2015,train
0.8448663,0.94751793,0.8152217,-0.47438526,0.32304326,1.3473102,0.9810833,-0.64013886,0.076000996,0.823887,18 Puerto Plata,2016,train
1.1618532,-0.8257521,0.5269616,-0.32345393,-0.044046484,0.9756201,0.6936012,0.906579,-2.0829568,0.1937301,18 Puerto Plata,2017,train
-0.6910533,-1.2784632,-0.70678306,-0.30224845,0.73453593,1.0614003,-0.43924767,1.1929445,-1.8838507,1.3517609,18 Puerto Plata,2018,train
-0.58959013,0.31471977,0.41111773,-1.1642596,0.63413423,0.31730235,0.101096846,-0.008534977,-0.5499513,0.2404329,18 Puerto Plata,2019,train
0.88330907,0.324373,0.4370892,-0.70092607,0.5680235,1.2246652,0.73466843,0.21710053,-0.6228834,0.60366136,18 Puerto Plata,2020,val
0.24902216,-0.555711,0.17299874,0.110129215,0.43496245,0.89264756,0.37384367,0.1745478,-1.3059535,0.6333854,18 Puerto Plata,2021,val
0.19833778,-0.22824226,0.51581305,-0.2598407,0.17852758,0.7469614,0.3771777,-0.2789828,-1.0860462,0.3489154,18 Puerto Plata,2022,test
0.24080297,-0.19162571,0.81096405,-0.4480699,0.2418331,-0.1205236,0.047674444,0.24859351,-1.5304091,0.08336866,18 Puerto Plata,2023,test
-0.044635534,0.12593652,0.78389674,1.1934781,1.3976052,0.9549138,-0.108163014,0.3511567,0.26293072,-1.083348,19 Hermanas Mirabal,2015,train
1.5699677,0.50541234,0.45004594,0.5224769,-0.23176622,1.4263642,0.91868466,-0.37044743,0.96945566,-0.88059485,19 Hermanas Mirabal,2016,train
1.2470874,-0.99179786,-0.5900106,0.16766004,-0.62948304,0.41077605,0.07400619,0.36543706,-0.87679553,-1.319701,19 Hermanas Mirabal,2017,train
-0.4060355,-0.71361756,-1.625823,-0.04951667,0.23173292,0.0065087634,-0.014037736,0.32336646,-0.43810272,-0.4085186,19 Hermanas Mirabal,2018,train
-0.067874946,-0.21761638,-0.5088159,-0.28146082,0.79322636,-0.03285484,-0.21989961,1.1371397,0.10620242,-1.0316072,19 Hermanas Mirabal,2019,train
1.632113,-0.44251606,-0.9152349,0.108927146,-0.15796725,0.45039925,0.58744395,1.2150764,0.17750154,-0.3903896,19 Hermanas Mirabal,2020,val
0.2069109,-1.4843384,-1.08454,0.62958276,-0.1909147,0.41785204,-1.1642014,0.14135258,-1.0414462,-1.0140795,19 Hermanas Mirabal,2021,val
0.77863973,-0.66935956,-0.1815059,0.9182606,-0.109795935,0.7378088,0.27985558,0.05189125,-0.12793149,-1.2366749,19 Hermanas Mirabal,2022,test
0.72853106,-0.6379944,-0.20579311,0.38267815,0.04235334,-0.4756109,-0.30593118,0.69190055,-0.63489026,-1.212592,19 Hermanas Mirabal,2023,test
-0.06957045,0.8073649,0.5094439,-0.06889964,1.4102777,0.55594695,0.15818746,-0.14062871,-0.11657724,0.4969607,20 Samaná,2015,train
1.2473459,0.8513547,0.06241857,-0.58890617,0.38601124,0.66751164,0.7668745,-0.36142683,-0.009657984,0.46803248,20 Samaná,2016,train
