z1,z2,z3,z4,z5,z6,z7,province,year,split
0.37732467,-0.57637304,-0.15946281,0.41468936,-1.6003803,-0.3082764,-0.5298508,13 La Vega,2019,train
0.6143436,-0.56575114,1.1998619,-0.16885206,-2.1164474,0.21997862,0.0011611936,13 La Vega,2020,val
0.24660107,-0.49927855,0.60175496,-0.6471208,-2.0746737,-0.77134514,0.41453138,13 La Vega,2021,val
0.034926567,-0.2624926,0.50159085,-0.18554658,-2.2744002,-0.08667012,0.11399201,13 La Vega,2022,test
-0.088753656,-0.16473113,0.18429776,0.07102848,-1.5457802,0.2102424,-0.07127385,13 La Vega,2023,test
-0.04888442,-0.9504279,0.1929673,-0.31827134,0.12436068,0.1366718,-0.26126644,14 María Trinidad Sánchez,2015,train
0.7363305,-0.42971855,1.2039325,-0.38700542,-0.42745784,0.30436748,-0.18819833,14 María Trinidad Sánchez,2016,train
0.41785952,0.64713776,1.842326,-1.695435,-1.2530866,-0.28319106,0.6391079,14 María Trinidad Sánchez,2017,train
0.9146084,-0.750991,0.81525886,-1.1132195,-0.20393652,-1.1803154,0.5887638,14 María Trinidad Sánchez,2018,train
0.4692107,-0.17585918,0.21657923,-0.28145215,-0.2532676,-0.2431581,-0.28554025,14 María Trinidad Sánchez,2019,train
0.6164544,-0.1603068,1.0641894,-0.5700973,-0.46355215,0.02081794,-0.042113528,14 María Trinidad Sánchez,2020,val
0.5460309,-0.14514628,0.88944733,-0.86422735,-0.51009506,-0.545931,0.28537878,14 María Trinidad Sánchez,2021,val
0.4552072,-0.07947863,0.7279724,-0.62810194,-0.48066142,-0.33226022,0.10064214,14 María Trinidad Sánchez,2022,test
0.07737237,0.023638949,0.4176934,-0.2912841,-0.29446584,0.011939836,0.013122137,14 María Trinidad Sánchez,2023,test
-0.83826905,0.26304945,-0.39822093,-0.2810697,3.320551,0.17226435,-0.20448129,15 Monte Cristi,2015,train
0.33365297,0.63662654,1.897752,-0.03427344,2.5303204,2.1260343,-0.2488865,15 Monte Cristi,2016,train
-0.3564574,2.1985133,0.6482238,-1.0739235,1.8024814,0.5901602,0.7162986,15 Monte Cristi,2017,train
0.13740942,0.42139116,-0.1970592,-0.91938245,3.329013,-1.2077597,1.525058,15 Monte Cristi,2018,train
0.25520977,1.4186944,-0.29682162,-0.18250434,1.8635671,0.114058316,-0.20421459,15 Monte Cristi,2019,train
0.07887676,1.716374,1.0189399,-0.49164602,2.29658,1.0245581,0.70655376,15 Monte Cristi,2020,val
-0.0663247,1.4814963,0.28674683,-0.8531229,2.2795925,-0.09306711,1.2384053,15 Monte Cristi,2021,val
-0.046293963,1.4722607,0.29463586,-0.5825422,1.8054429,0.34089372,0.4641291,15 Monte Cristi,2022,test
