year,week,nino34_anom,oni_index,soi_index
2021,27,-0.23,0.0,2.3
2021,27,-0.23,0.0,1.4
2021,28,-0.23,0.0,2.3
2021,28,-0.23,0.0,1.4
2021,29,-0.23,0.0,2.3
2021,29,-0.23,0.0,1.4
2021,30,-0.23,0.0,2.3
2021,30,-0.23,0.0,1.4
2021,31,-0.23,0.0,2.3
2021,31,-0.23,0.0,1.4
2021,32,-0.28,0.0,1.0
2021,32,-0.28,0.0,0.6
2021,33,-0.28,0.0,1.0
2021,33,-0.28,0.0,0.6
2021,34,-0.28,0.0,1.0
2021,34,-0.28,0.0,0.6
2021,35,-0.28,0.0,1.0
2021,35,-0.28,0.0,0.6
2021,36,-0.54,0.0,1.3
2021,36,-0.54,0.0,0.8
2021,37,-0.54,0.0,1.3
2021,37,-0.54,0.0,0.8
2021,38,-0.54,0.0,1.3
2021,38,-0.54,0.0,0.8
2021,39,-0.54,0.0,1.3
2021,39,-0.54,0.0,0.8
2021,40,-0.73,0.0,1.2
2021,40,-0.73,0.0,0.7
2021,41,-0.73,0.0,1.2
2021,41,-0.73,0.0,0.7
2021,42,-0.73,0.0,1.2
2021,42,-0.73,0.0,0.7
2021,43,-0.73,0.0,1.2
2021,43,-0.73,0.0,0.7
2021,44,-0.73,0.0,1.2
2021,44,-0.73,0.0,0.7
2021,45,-0.68,0.0,1.6
2021,45,-0.68,0.0,1.0
2021,46,-0.68,0.0,1.6
2021,46,-0.68,0.0,1.0
2021,47,-0.68,0.0,1.6
2021,47,-0.68,0.0,1.0
2021,48,-0.68,0.0,1.6
2021,48,-0.68,0.0,1.0
2021,49,-0.74,0.0,2.5
2021,49,-0.74,0.0,1.5
2021,50,-0.74,0.0,2.5
2021,50,-0.74,0.0,1.5
2021,51,-0.74,0.0,2.5
2021,51,-0.74,0.0,1.5
2021,52,-0.74,0.0,2.5
2021,52,-0.74,0.0,1.5
2022,1,-0.37,0.0,0.8
2022,1,-0.37,0.0,0.5
2022,2,-0.37,0.0,0.8
2022,2,-0.37,0.0,0.5
2022,3,-0.37,0.0,0.8
2022,3,-0.37,0.0,0.5
2022,4,-0.37,0.0,0.8
2022,4,-0.37,0.0,0.5
2022,5,-0.37,0.0,0.8
2022,5,-0.37,0.0,0.5
2022,6,-0.37,0.0,1.8
2022,6,-0.37,0.0,1.1
2022,7,-0.37,0.0,1.8
2022,7,-0.37,0.0,1.1
2022,8,-0.37,0.0,1.8
2022,8,-0.37,0.0,1.1
2022,9,-0.37,0.0,1.8
2022,9,-0.37,0.0,1.1
2022,10,-0.69,0.0,2.9
2022,10,-0.69,0.0,1.8
2022,11,-0.69,0.0,2.9
2022,11,-0.69,0.0,1.8
2022,12,-0.69,0.0,2.9
2022,12,-0.69,0.0,1.8
2022,13,-0.69,0.0,2.9
2022,13,-0.69,0.0,1.8
2022,14,-0.83,0.0,2.8
2022,14,-0.83,0.0,1.7
2022,15,-0.83,0.0,2.8
2022,15,-0.83,0.0,1.7
2022,16,-0.83,0.0,2.8
2022,16,-0.83,0.0,1.7
2022,17,-0.83,0.0,2.8
2022,17,-0.83,0.0,1.7
2022,18,-0.83,0.0,2.8
2022,18,-0.83,0.0,1.7
2022,19,-0.8,0.0,2.4
2022,19,-0.8,0.0,1.4
2022,20,-0.8,0.0,2.4
2022,20,-0.8,0.0,1.4
2022,21,-0.8,0.0,2.4
2022,21,-0.8,0.0,1.4
2022,22,-0.8,0.0,2.4
2022,22,-0.8,0.0,1.4
