province,year,week,neighbor_incidence_lag0,neighbor_incidence_lag1,neighbor_incidence_lag2,n_neighbors
09 Espaillat,2016,18,1.7347718181100014,1.3134733706525368,2.15501820145254,20
09 Espaillat,2016,19,1.9494957579284922,1.7347718181100014,1.3134733706525368,20
09 Espaillat,2016,20,1.7905021765522449,1.9494957579284922,1.7347718181100014,20
09 Espaillat,2016,21,2.2979276619574622,1.7905021765522449,1.9494957579284922,20
09 Espaillat,2016,22,1.779658260649988,2.2979276619574622,1.7905021765522449,20
09 Espaillat,2016,23,1.91376413615958,1.779658260649988,2.2979276619574622,20
09 Espaillat,2016,24,1.3948431137847783,1.91376413615958,1.779658260649988,20
09 Espaillat,2016,25,2.2841269189399585,1.3948431137847783,1.91376413615958,20
09 Espaillat,2016,26,1.3204356642753015,2.2841269189399585,1.3948431137847783,20
09 Espaillat,2016,27,1.3328711788541292,1.3204356642753015,2.2841269189399585,20
09 Espaillat,2016,28,1.0566097115039925,1.3328711788541292,1.3204356642753015,20
09 Espaillat,2016,29,0.9938939590505457,1.0566097115039925,1.3328711788541292,20
09 Espaillat,2016,30,1.0916443834799214,0.9938939590505457,1.0566097115039925,20
09 Espaillat,2016,31,1.2958185616688587,1.0916443834799214,0.9938939590505457,20
09 Espaillat,2016,32,0.6014623973379625,1.2958185616688587,1.0916443834799214,20
09 Espaillat,2016,33,0.8317620024684342,0.6014623973379625,1.2958185616688587,20
09 Espaillat,2016,34,0.8172922033445726,0.8317620024684342,0.6014623973379625,20
09 Espaillat,2016,35,0.803575273819384,0.8172922033445726,0.8317620024684342,20
09 Espaillat,2016,36,0.7567880399349101,0.803575273819384,0.8172922033445726,20
09 Espaillat,2016,37,1.0828326724405628,0.7567880399349101,0.803575273819384,20
09 Espaillat,2016,38,0.4061337359488225,1.0828326724405628,0.7567880399349101,20
09 Espaillat,2016,39,0.9751249880574182,0.4061337359488225,1.0828326724405628,20
09 Espaillat,2016,40,0.7969117983611289,0.9751249880574182,0.4061337359488225,20
09 Espaillat,2016,41,0.477559147657175,0.7969117983611289,0.9751249880574182,20
09 Espaillat,2016,42,0.5819054154625792,0.477559147657175,0.7969117983611289,20
09 Espaillat,2016,43,0.7332800594257345,0.5819054154625792,0.477559147657175,20
09 Espaillat,2016,44,0.49692389759815475,0.7332800594257345,0.5819054154625792,20
09 Espaillat,2016,45,0.5864454678441009,0.49692389759815475,0.7332800594257345,20
09 Espaillat,2016,46,0.5290528568995427,0.5864454678441009,0.49692389759815475,20
09 Espaillat,2016,47,0.9926173870619492,0.5290528568995427,0.5864454678441009,20
09 Espaillat,2016,48,0.6983231733324715,0.9926173870619492,0.5290528568995427,20
09 Espaillat,2016,49,0.9052795555623703,0.6983231733324715,0.9926173870619492,20
09 Espaillat,2016,50,0.646299614011488,0.9052795555623703,0.6983231733324715,20
09 Espaillat,2016,51,0.4510607580008684,0.646299614011488,0.9052795555623703,20
09 Espaillat,2016,52,0.6672405967475938,0.4510607580008684,0.646299614011488,20
09 Espaillat,2017,1,0.2532569523206684,0.6672405967475938,0.4510607580008684,20
09 Espaillat,2017,2,0.2994480191561232,0.2532569523206684,0.6672405967475938,20
09 Espaillat,2017,3,0.36021190686797794,0.2994480191561232,0.2532569523206684,20
09 Espaillat,2017,4,0.01893940547156172,0.36021190686797794,0.2994480191561232,20
09 Espaillat,2017,5,0.32104597598484663,0.01893940547156172,0.36021190686797794,20
09 Espaillat,2017,6,0.4347294926508473,0.32104597598484663,0.01893940547156172,20
