z1,z2,z3,z4,z5,z6,province,year,split
0.55717516,-0.05389981,-0.84596306,-2.361764,-0.073507465,1.2499179,18 Puerto Plata,2015,train
2.0675473,0.77937496,-0.09188287,-1.0412353,0.64933306,-0.3993523,18 Puerto Plata,2016,train
0.5962248,1.6509526,-0.051200554,-0.9071236,-0.43742025,-0.92846864,18 Puerto Plata,2017,train
-1.081069,1.7813934,-0.9245396,-1.500707,-0.8514583,0.20134705,18 Puerto Plata,2018,train
0.38477296,0.5645371,-0.0662436,-1.1344812,-0.3542732,0.8236004,18 Puerto Plata,2019,train
1.2623038,0.92567194,0.09188732,-1.2037766,-0.106161356,-0.7061519,18 Puerto Plata,2020,val
0.36579007,1.3511475,-0.6077905,-1.0546391,0.3746522,-0.6482812,18 Puerto Plata,2021,val
-1.1482844,-2.30334,0.21201648,-0.26773936,0.2509792,0.49726412,19 Hermanas Mirabal,2015,train
0.41152304,-1.1119707,1.0852331,0.7632684,0.41634282,-1.7217332,19 Hermanas Mirabal,2016,train
-0.7931653,0.14005361,1.0467658,0.45192003,-0.26531577,-1.61827,19 Hermanas Mirabal,2017,train
-1.7821612,-0.5634557,0.104318045,0.024917359,0.37447292,-0.9436413,19 Hermanas Mirabal,2018,train
-1.071232,-0.85591274,1.0272946,0.46696973,-0.63793314,-0.0014228994,19 Hermanas Mirabal,2019,train
-0.7712197,-0.73414904,1.1855713,0.9290355,-0.5296302,-2.267876,19 Hermanas Mirabal,2020,val
-1.6869713,0.5321409,1.1053506,0.6242781,-0.5446661,-0.6230875,19 Hermanas Mirabal,2021,val
-0.15702179,-0.58272535,-0.4940258,-1.4871367,-0.020869642,0.8512061,20 Samaná,2015,train
1.4935571,0.35071737,0.6158503,-0.81848896,0.19460894,-0.75386715,20 Samaná,2016,train
0.18446802,0.9592717,0.05632259,-0.4741167,-0.14404315,-1.4726152,20 Samaná,2017,train
-1.0634819,0.37320846,-0.6390302,-0.93205196,-0.32052073,-1.1500776,20 Samaná,2018,train
-0.1562197,-0.030119458,0.30357316,-0.8667084,-0.70821196,-0.026526874,20 Samaná,2019,train
-0.06636305,1.9414957,-0.39436984,-0.12047497,-0.9565598,-2.7296062,20 Samaná,2020,val
-1.5154841,2.2808938,-0.7530336,-0.26038864,-0.75771713,-1.1627612,20 Samaná,2021,val
