z1,z2,z3,z4,z5,province,year,split
-1.0510868,-0.16060244,0.07194878,0.6440073,0.8686963,27 Valverde,2018,train
-0.998637,0.43870783,0.93649614,-0.7336312,0.06955113,27 Valverde,2019,train
-0.08009834,0.5659405,0.3477981,-0.30540714,1.8443122,27 Valverde,2020,val
-0.59692544,0.025409186,0.17340831,0.8020817,1.3509864,27 Valverde,2021,val
-1.2643864,0.8199942,-0.5999418,-0.047585506,-2.065314,28 Monseñor Nouel,2015,train
1.0727283,2.1319041,-0.55274785,-0.5694476,-0.0048676603,28 Monseñor Nouel,2016,train
0.9022871,1.5387523,-0.31356722,0.911041,-0.110117614,28 Monseñor Nouel,2017,train
-0.0016235596,0.3399019,-0.18441287,2.4258676,-0.7053503,28 Monseñor Nouel,2018,train
-0.2219483,1.2185515,0.36432573,0.17818959,-1.3378699,28 Monseñor Nouel,2019,train
0.8869594,1.7122242,-0.17135313,0.25744286,-0.020635217,28 Monseñor Nouel,2020,val
0.3076938,1.0084267,-0.29469025,1.6327142,-0.17508084,28 Monseñor Nouel,2021,val
-0.89671946,0.15156561,-0.303698,-0.21454193,-1.523728,29 Monte Plata,2015,train
1.4722795,1.4984291,0.09207545,-0.995625,-0.09942242,29 Monte Plata,2016,train
1.3065864,1.0691006,0.26328903,0.6515128,0.586359,29 Monte Plata,2017,train
0.18386982,-0.51632875,0.73134357,2.3802898,-0.26697874,29 Monte Plata,2018,train
-0.07172586,0.74809635,0.7024969,-0.19464609,-1.0154498,29 Monte Plata,2019,train
0.867774,1.2631308,-0.08834093,-0.21219085,0.55927336,29 Monte Plata,2020,val
0.33939672,0.6976491,-0.017888805,1.0145433,0.123569205,29 Monte Plata,2021,val
-0.69613427,-0.4363139,-0.24029523,-0.46545944,-1.3730984,30 Hato Mayor,2015,train
1.3674828,0.7279637,-0.3009672,-1.1082965,0.37105,30 Hato Mayor,2016,train
1.2256124,0.3424163,0.5367516,0.4269306,0.78922105,30 Hato Mayor,2017,train
-0.067826964,-0.8289694,0.4049089,1.6599919,0.06301853,30 Hato Mayor,2018,train
-0.041298814,0.07705919,0.82180613,-0.30435568,-0.629514,30 Hato Mayor,2019,train
1.0999978,0.34803277,0.47835472,-0.2712957,1.1205211,30 Hato Mayor,2020,val
0.4923903,-0.54286826,1.1641185,1.1450237,0.38719088,30 Hato Mayor,2021,val
-1.0450839,0.44864923,-0.49599034,0.17147294,-1.633369,31 San José de Ocoa,2015,train
1.3528736,1.9737953,-0.20960122,-0.5555613,0.2466067,31 San José de Ocoa,2016,train
0.5539641,1.384308,-0.24714598,1.0090832,0.7025992,31 San José de Ocoa,2017,train
-0.67623377,0.512461,-0.6263493,1.625079,-0.1538181,31 San José de Ocoa,2018,train
-0.34076858,1.212895,0.41226894,0.30087668,-1.0657653,31 San José de Ocoa,2019,train
0.6249783,1.549188,-0.38270298,0.3828106,0.35219154,31 San José de Ocoa,2020,val
0.28160194,1.1519485,-0.104739405,1.4113381,0.08973868,31 San José de Ocoa,2021,val
-1.093756,-0.1227695,-3.3415358,0.023708059,-0.8143047,32 Santo Domingo,2015,train
0.74409145,0.9197469,-3.4797695,-0.48567083,0.3675143,32 Santo Domingo,2016,train
0.77760464,0.48724887,-3.3002934,0.8026351,0.6944496,32 Santo Domingo,2017,train
-0.15621449,-0.28031486,-3.485461,1.4704951,0.014350152,32 Santo Domingo,2018,train
-0.25803107,0.22630475,-3.0236497,0.25458536,-0.48753873,32 Santo Domingo,2019,train
0.66666234,0.6262085,-3.6081414,0.24658822,0.7723998,32 Santo Domingo,2020,val
0.2451853,0.10933405,-3.5965586,1.0931435,0.57960224,32 Santo Domingo,2021,val
