z1,z2,z3,z4,z5,z6,z7,province,year,week,split
-0.71949583,-5.991845,5.129127,4.525659,-5.7413845,3.9805517,5.850645,01 Distrito Nacional,2017,25,train
-2.0202398,-6.068143,6.610904,3.1852064,-2.8165274,1.841454,6.5477014,01 Distrito Nacional,2017,26,train
-17.60856,3.2095811,1.4552934,14.407091,0.5200053,-1.9982367,-0.45591274,01 Distrito Nacional,2017,27,train
-14.174609,2.545024,1.9058506,12.269524,4.3134947,-0.86116785,3.9255738,01 Distrito Nacional,2017,28,train
-18.572844,2.0183084,5.429411,10.964993,-2.9045312,0.6439605,1.1963738,01 Distrito Nacional,2017,29,train
-14.877333,0.71845704,1.7009324,10.708548,3.90772,-2.8761237,3.353167,01 Distrito Nacional,2017,30,train
-21.26215,1.4735564,5.5813093,10.621051,-4.5641694,1.9050641,1.7704341,01 Distrito Nacional,2017,31,train
-17.926653,2.047593,2.269222,11.012409,-0.082204856,0.65244144,2.2097507,01 Distrito Nacional,2017,32,train
-23.168034,2.8900557,5.669032,10.195194,-0.7480122,2.682281,3.9215202,01 Distrito Nacional,2017,33,train
-16.044176,0.4231972,2.5073614,9.266101,3.3512623,-1.1807144,2.0786183,01 Distrito Nacional,2017,34,train
-7.670818,-2.7925658,8.624259,4.299925,-2.83674,3.7602496,4.612165,01 Distrito Nacional,2017,35,train
-9.112039,-3.5910323,15.491899,3.4591572,-0.89990276,5.7518244,9.390185,01 Distrito Nacional,2017,36,train
-7.7077837,-2.3685415,9.511755,4.6832333,2.8030145,4.365912,8.20006,01 Distrito Nacional,2017,37,train
-12.438525,-2.3893363,18.664026,2.3118825,0.09987662,11.889763,9.676566,01 Distrito Nacional,2017,38,train
-6.3587613,-2.6478446,9.075237,4.347019,2.1168175,7.246444,7.5186114,01 Distrito Nacional,2017,39,train
-4.1753993,-0.81250745,10.352648,6.8395977,6.038863,7.4283457,7.6828175,01 Distrito Nacional,2017,40,train
-3.8011816,-1.7438376,10.22056,6.950356,2.918183,9.842318,5.453512,01 Distrito Nacional,2017,41,train
-5.011321,-2.1039364,12.772023,6.0385556,3.985916,10.013853,3.244648,01 Distrito Nacional,2017,42,train
-2.354022,-1.8346157,8.070864,7.3063726,4.1549544,7.96224,2.0414827,01 Distrito Nacional,2017,43,train
-2.1887453,-2.5456278,9.071856,7.1461883,2.9939647,7.9313416,-0.5957338,01 Distrito Nacional,2017,44,train
2.8204384,4.522681,5.938809,7.727592,21.471138,16.782938,20.249504,01 Distrito Nacional,2017,45,train
-1.71033,6.7837467,3.234345,6.9449277,23.49448,17.098139,17.194052,01 Distrito Nacional,2017,46,train
-1.7812093,-0.58565474,6.930893,8.816568,8.135239,12.167689,-0.75052005,01 Distrito Nacional,2017,47,train
0.04316893,-2.2747755,3.285685,9.172391,8.198764,5.6158853,-5.6009502,01 Distrito Nacional,2017,48,train
0.05800648,-5.4152775,1.2100905,6.3525133,7.390253,7.0423236,-6.373846,01 Distrito Nacional,2017,49,train
1.2935178,-5.0078406,-0.34891883,7.2583756,5.298999,9.143102,-8.583765,01 Distrito Nacional,2017,50,train
1.9951943,-7.628928,2.2632375,5.994843,5.954011,8.397702,-12.859829,01 Distrito Nacional,2017,51,train
-8.752009,-1.2381135,-3.2873957,11.700083,9.609133,2.73418,-10.721278,01 Distrito Nacional,2017,52,train
-3.594864,3.2694144,1.1636311,17.377014,16.69649,4.0922647,-7.8784313,01 Distrito Nacional,2018,1,train
-4.4198713,3.9889412,-0.7727456,19.769285,15.86323,2.536383,-8.555215,01 Distrito Nacional,2018,2,train
-2.931046,2.4321425,-2.2080557,20.177998,15.226106,-1.8554875,-8.3322525,01 Distrito Nacional,2018,3,train
-3.0114517,3.5426571,-2.5868375,21.554972,11.646833,-3.1792665,-11.663402,01 Distrito Nacional,2018,4,train
10.901739,-1.9616823,-0.04459035,16.746517,7.442527,6.727981,-12.295668,01 Distrito Nacional,2018,5,train
12.728262,-8.263389,-5.4676332,9.918897,8.48607,2.277369,-6.506626,01 Distrito Nacional,2018,6,train
15.407683,-8.294596,-7.163833,11.8998375,5.7807474,3.5270205,-7.7659483,01 Distrito Nacional,2018,7,train
15.050656,-8.943984,-6.7005353,12.937021,2.3360496,2.5390277,-9.021413,01 Distrito Nacional,2018,8,train
17.53375,-7.465658,-14.210802,18.67541,1.2659672,4.3170466,-10.170954,01 Distrito Nacional,2018,9,train
14.269034,-0.5024537,-4.673853,21.853178,4.837609,0.80983657,-11.216275,01 Distrito Nacional,2018,10,train
13.028451,-0.6028218,-5.599482,20.387177,11.232849,-5.7357936,-8.197333,01 Distrito Nacional,2018,11,train
10.134981,1.8808914,-0.37100014,21.413147,3.3346746,0.45053414,-7.924589,01 Distrito Nacional,2018,12,train
17.798029,-3.3867667,1.3689042,23.790144,-4.008322,0.73138195,-10.485451,01 Distrito Nacional,2018,13,train
11.956941,-2.6588619,-9.6203785,17.740108,0.16602248,-7.657515,-3.5174832,01 Distrito Nacional,2018,14,train
10.856057,-2.720604,-4.6114283,16.92566,-2.7188587,-6.445236,-1.5549216,01 Distrito Nacional,2018,15,train
11.2636595,-1.9425149,-5.7386656,17.236883,-0.27647305,-7.1109457,1.1066611,01 Distrito Nacional,2018,16,train
10.207274,-3.7836766,-3.57169,16.705408,-0.6462286,-9.615261,0.52658594,01 Distrito Nacional,2018,17,train
8.547553,-3.24293,6.0579715,12.286435,-4.053213,-2.1506295,11.169339,01 Distrito Nacional,2018,18,train
10.192724,-4.241126,7.044533,13.166979,-6.64407,-5.671456,14.6103945,01 Distrito Nacional,2018,19,train
8.958091,-3.8842494,6.6860933,14.148611,-10.134123,-3.7177649,14.462075,01 Distrito Nacional,2018,20,train
5.0316224,-1.536008,4.1182714,13.247463,-9.5445595,-6.8565054,14.732372,01 Distrito Nacional,2018,21,train
3.1001997,-1.6902273,5.4548297,12.773245,-6.3998218,-8.3402195,16.351946,01 Distrito Nacional,2018,22,train
0.18450405,-1.396893,4.0017266,11.909995,-9.289333,-10.561235,15.690181,01 Distrito Nacional,2018,23,train
-0.85158414,-1.7267519,5.658969,11.216719,-9.960335,-9.974767,15.34663,01 Distrito Nacional,2018,24,train
-0.6945835,1.0123299,12.689805,12.773616,-10.314636,-0.35417235,21.958841,01 Distrito Nacional,2018,25,train
-4.147353,-1.522415,11.351072,10.43744,-15.1752825,-4.69022,15.601123,01 Distrito Nacional,2018,26,train
-16.01933,2.9787755,2.686417,17.440483,-14.181316,-6.8200917,6.7905164,01 Distrito Nacional,2018,27,train
-19.620815,7.134282,2.1818812,18.800022,-4.418768,-8.928348,12.212493,01 Distrito Nacional,2018,28,train
-17.4709,5.4303255,1.1326274,18.588245,-2.4708815,-11.480076,10.189604,01 Distrito Nacional,2018,29,train
-15.206477,5.118327,0.89975214,18.238512,-5.291426,-10.370699,8.73874,01 Distrito Nacional,2018,30,train
-16.037416,3.7502632,-0.05960072,16.36766,-7.2981763,-10.557009,8.384079,01 Distrito Nacional,2018,31,train
-18.746855,3.002735,-2.336433,14.212346,-0.82110184,-9.713808,10.378748,01 Distrito Nacional,2018,32,train
-18.706505,2.8685682,-2.8901145,14.348662,-0.5775999,-10.050808,9.642608,01 Distrito Nacional,2018,33,train
-17.197548,2.4496953,-3.8028824,14.727006,-0.67176354,-10.469542,6.9209785,01 Distrito Nacional,2018,34,train
-7.5776153,1.9882061,0.2135745,6.3723164,1.8748494,4.8506055,24.87298,01 Distrito Nacional,2018,35,train
-6.550476,-4.366894,6.435447,2.4533489,-4.382088,3.4596868,12.216613,01 Distrito Nacional,2018,36,train
-8.158892,-5.8365927,9.899001,0.3312539,-5.770745,5.8676486,14.297681,01 Distrito Nacional,2018,37,train
-7.8156548,-5.9480286,8.552436,-0.11280222,-0.38508427,3.5930765,13.023969,01 Distrito Nacional,2018,38,train
-3.6834462,-7.5701723,8.435838,-0.18812762,-2.2015471,7.253576,14.69649,01 Distrito Nacional,2018,39,train
-12.281621,-7.455517,9.101722,-4.607453,1.8987762,14.485256,8.752859,01 Distrito Nacional,2018,40,train
-10.193048,2.8695323,-4.8489685,0.46221593,11.751888,14.08016,17.68725,01 Distrito Nacional,2018,41,train
-3.2122266,-9.487489,6.6970315,-1.1721975,-0.3435023,7.874669,3.8551931,01 Distrito Nacional,2018,42,train
-3.7062244,-6.9087086,2.980531,1.2818713,0.46495974,5.6307583,1.5950766,01 Distrito Nacional,2018,43,train
-3.6628788,-8.601179,3.9629333,-0.099686444,-0.29263893,9.001834,0.7932497,01 Distrito Nacional,2018,44,train
0.4078749,-9.448799,2.2332807,0.45599636,3.668332,7.499661,4.0159826,01 Distrito Nacional,2018,45,train
-1.6043392,-9.484153,1.6707642,-0.7386384,8.961655,7.6984797,5.107803,01 Distrito Nacional,2018,46,train
-2.1641684,-7.420185,-0.5040865,1.2727789,2.2235248,9.172321,0.39004558,01 Distrito Nacional,2018,47,train
0.2627249,-8.3586,-5.6873207,3.515712,7.8074102,4.4109674,-5.694067,01 Distrito Nacional,2018,48,train
-0.5274615,-9.275633,-4.074932,2.6976314,7.291183,6.5862603,-11.566254,01 Distrito Nacional,2018,49,train
2.1064863,-9.048549,-7.944206,3.1852875,10.00878,9.4606085,-12.559833,01 Distrito Nacional,2018,50,train
3.355431,-8.746447,-11.302301,5.2531395,9.930813,10.11355,-15.260782,01 Distrito Nacional,2018,51,train
-6.1990867,-8.03103,-8.895928,7.185287,8.042036,3.53872,-19.925907,01 Distrito Nacional,2018,52,train
-1.3096842,-7.983709,-14.734853,9.598721,7.8410935,1.2609462,-18.164455,01 Distrito Nacional,2019,1,train
-3.5198553,-4.111807,-15.151089,13.2485895,5.426223,1.2666159,-10.865465,01 Distrito Nacional,2019,2,train
-1.2017711,-3.9090676,-17.649252,15.395969,5.992356,-0.8227639,-12.278539,01 Distrito Nacional,2019,3,train
-1.486204,-3.0451446,-18.243937,16.438957,7.5157967,-5.290502,-12.735431,01 Distrito Nacional,2019,4,train
6.7030277,-7.7387366,-10.788038,7.978988,4.6426487,4.514616,-6.268191,01 Distrito Nacional,2019,5,train
7.9382067,-11.182299,-12.492435,4.864221,2.2014952,1.4934338,-5.6156807,01 Distrito Nacional,2019,6,train
6.640968,-10.578367,-11.625035,4.9388156,2.233163,-0.03461685,-3.8013384,01 Distrito Nacional,2019,7,train
7.0630655,-10.99002,-11.198083,5.5178823,-1.7519162,-0.6074172,-6.91449,01 Distrito Nacional,2019,8,train
7.2495112,-11.3324585,-12.813591,7.2640758,-3.812647,-0.25585574,-7.737407,01 Distrito Nacional,2019,9,train
8.49671,-8.810881,-10.55756,9.79189,-1.3840715,1.0622615,-4.6131835,01 Distrito Nacional,2019,10,train
13.685965,-8.64464,-12.180975,11.821512,-0.02309042,-2.772883,-7.0371566,01 Distrito Nacional,2019,11,train
13.979741,-7.399344,-14.388313,13.353798,0.9996225,-3.299418,-4.372498,01 Distrito Nacional,2019,12,train
9.571736,-6.868395,-11.161576,10.096711,5.323234,-5.546868,2.1644967,01 Distrito Nacional,2019,13,train
10.473409,-6.2202106,-7.818432,12.350219,-2.1497877,-5.4846835,-1.8989561,01 Distrito Nacional,2019,14,train
12.097753,-6.2354293,-8.31424,13.1810465,1.2653736,-8.099565,1.4011436,01 Distrito Nacional,2019,15,train
11.906659,-6.838422,-6.3439083,13.271055,-3.311929,-7.800395,-0.3147036,01 Distrito Nacional,2019,16,train
7.7025814,-4.9141364,-6.1296425,12.776656,-3.4390419,-6.4007206,0.37020043,01 Distrito Nacional,2019,17,train
6.911649,-6.7896934,2.0425866,7.464861,-8.309907,-1.6075263,8.759609,01 Distrito Nacional,2019,18,train
3.5762029,-7.095981,-0.92594635,5.6853266,-7.190311,0.0074520633,7.6532393,01 Distrito Nacional,2019,19,train
1.1053079,-6.4261236,0.53152055,5.2982945,-2.5093012,-4.8214526,8.6448,01 Distrito Nacional,2019,20,train
1.7506564,-6.154648,-1.6466663,4.9882507,-3.6806858,1.3929203,12.697707,01 Distrito Nacional,2019,21,train
2.3677378,-7.179751,0.34199756,3.677824,-0.68091226,1.0460168,15.827913,01 Distrito Nacional,2019,22,train
-0.48779526,-6.5673647,0.860499,3.8831356,1.0858042,-2.1380644,10.723625,01 Distrito Nacional,2019,23,train
-1.3359686,-6.023136,2.2171698,3.7262995,-4.9716806,-1.0681533,6.824405,01 Distrito Nacional,2019,24,train
