z1,z2,province,year,week,split
9.268402,7.5124817,01 Distrito Nacional,2021,50,val
10.116723,8.168975,01 Distrito Nacional,2021,51,val
0.35001913,18.47228,01 Distrito Nacional,2021,52,val
3.9643264,10.5833845,02 Azua,2015,1,train
3.635913,10.572565,02 Azua,2015,2,train
5.763711,13.605743,02 Azua,2015,3,train
6.524314,14.734926,02 Azua,2015,4,train
11.709474,6.20215,02 Azua,2015,5,train
12.336426,6.322252,02 Azua,2015,6,train
12.348519,5.949849,02 Azua,2015,7,train
11.510046,3.6903245,02 Azua,2015,8,train
11.914683,2.5860808,02 Azua,2015,9,train
11.372573,1.886174,02 Azua,2015,10,train
9.367155,0.45272502,02 Azua,2015,11,train
13.4269905,1.4861081,02 Azua,2015,12,train
13.639761,0.75192064,02 Azua,2015,13,train
12.814023,0.04274314,02 Azua,2015,14,train
12.160609,-0.2663468,02 Azua,2015,15,train
13.442929,-0.10818348,02 Azua,2015,16,train
4.4064612,-18.925379,02 Azua,2015,17,train
1.7994834,-20.660522,02 Azua,2015,18,train
1.8113602,-16.37786,02 Azua,2015,19,train
2.7769969,-8.128285,02 Azua,2015,20,train
0.4883643,-14.4478855,02 Azua,2015,21,train
0.22776672,-13.501754,02 Azua,2015,22,train
0.7919461,-11.523763,02 Azua,2015,23,train
-2.1714375,-11.122802,02 Azua,2015,24,train
-2.9582372,-10.483029,02 Azua,2015,25,train
-2.8097553,-9.438692,02 Azua,2015,26,train
-12.605119,-10.147709,02 Azua,2015,27,train
-12.375452,-9.838106,02 Azua,2015,28,train
-12.15175,-7.7460923,02 Azua,2015,29,train
-12.822826,-8.515869,02 Azua,2015,30,train
-11.719639,-8.738752,02 Azua,2015,31,train
-11.376641,-8.555311,02 Azua,2015,32,train
-10.639424,-7.70446,02 Azua,2015,33,train
-11.266373,-7.4822545,02 Azua,2015,34,train
-16.242483,12.376664,02 Azua,2015,35,train
-3.350445,-0.265419,02 Azua,2015,36,train
-2.9983559,-0.3333455,02 Azua,2015,37,train
-2.794689,-0.21427682,02 Azua,2015,38,train
-3.0574512,-0.19738807,02 Azua,2015,39,train
-2.580183,-0.075267375,02 Azua,2015,40,train
-1.8393233,0.031701792,02 Azua,2015,41,train
-1.6372112,0.3573121,02 Azua,2015,42,train
-1.5053691,0.6239033,02 Azua,2015,43,train
-1.2972903,0.64708114,02 Azua,2015,44,train
-1.0530335,0.81993437,02 Azua,2015,45,train
-1.0387921,0.9408154,02 Azua,2015,46,train
-0.80883664,0.9235918,02 Azua,2015,47,train
10.693594,11.610039,02 Azua,2015,48,train
8.04366,9.024992,02 Azua,2015,49,train
8.929184,9.793999,02 Azua,2015,50,train
9.052564,9.878196,02 Azua,2015,51,train
6.4854302,10.219198,02 Azua,2015,52,train
8.456009,12.585767,02 Azua,2016,1,train
9.828622,14.343725,02 Azua,2016,2,train
8.843255,13.576772,02 Azua,2016,3,train
8.105801,13.073855,02 Azua,2016,4,train
12.197471,5.623657,02 Azua,2016,5,train
11.634426,4.913941,02 Azua,2016,6,train
11.73613,4.5834208,02 Azua,2016,7,train
11.606432,3.8930457,02 Azua,2016,8,train
11.712497,4.0797114,02 Azua,2016,9,train
13.260823,2.9787378,02 Azua,2016,10,train
13.410771,2.0838633,02 Azua,2016,11,train
12.407445,0.85534877,02 Azua,2016,12,train
13.674778,0.6635431,02 Azua,2016,13,train
14.161698,-1.5005784,02 Azua,2016,14,train
13.277195,-0.36079472,02 Azua,2016,15,train
12.496909,-0.4938285,02 Azua,2016,16,train
15.682701,-12.899505,02 Azua,2016,17,train
8.908276,-15.171466,02 Azua,2016,18,train
8.012283,-14.64774,02 Azua,2016,19,train
5.845084,-14.029315,02 Azua,2016,20,train
5.6772833,-13.377728,02 Azua,2016,21,train
5.4782033,-12.807491,02 Azua,2016,22,train
2.3771482,-11.555408,02 Azua,2016,23,train
-2.4319527,-10.8613825,02 Azua,2016,24,train
-1.901071,-9.323986,02 Azua,2016,25,train
-2.4216568,-8.920477,02 Azua,2016,26,train
-14.367144,-5.783682,02 Azua,2016,27,train
-13.715802,-5.787068,02 Azua,2016,28,train
-15.124656,-5.0654116,02 Azua,2016,29,train
-13.95359,-4.224851,02 Azua,2016,30,train
-14.766573,-3.9039395,02 Azua,2016,31,train
-16.02436,-4.279293,02 Azua,2016,32,train
-14.240404,-5.3628016,02 Azua,2016,33,train
-20.972141,11.048308,02 Azua,2016,34,train
-5.9484725,2.0283213,02 Azua,2016,35,train
-5.9344745,2.5506184,02 Azua,2016,36,train
-5.9882464,2.4130676,02 Azua,2016,37,train
-5.911905,2.6808038,02 Azua,2016,38,train
-6.153899,2.9334517,02 Azua,2016,39,train
-14.534387,14.3693075,02 Azua,2016,40,train
-5.2614856,4.100158,02 Azua,2016,41,train
-5.0992866,4.8780723,02 Azua,2016,42,train
-4.928524,4.820603,02 Azua,2016,43,train
-4.3224545,4.4692883,02 Azua,2016,44,train
-10.771018,12.319628,02 Azua,2016,45,train
-4.4550753,5.4916635,02 Azua,2016,46,train
-3.5218766,5.142118,02 Azua,2016,47,train
-3.350265,4.643849,02 Azua,2016,48,train
-2.6156359,4.309945,02 Azua,2016,49,train
-2.7184253,4.584646,02 Azua,2016,50,train
-2.379647,4.5989695,02 Azua,2016,51,train
1.6787026,14.886865,02 Azua,2016,52,train
1.9552186,13.555852,02 Azua,2017,1,train
0.37636182,11.183241,02 Azua,2017,2,train
