z1,z2,z3,z4,z5,z6,z7,z8,province,year,week,split
3.960011,7.520443,2.7683852,4.63423,3.2423875,-2.5043323,4.7528243,-1.6848257,01 Distrito Nacional,2017,8,train
2.4867396,5.535792,2.2128227,4.2731605,3.6069543,-2.061713,5.1329126,-1.1702831,01 Distrito Nacional,2017,9,train
3.9053426,10.384564,7.899463,4.7587886,8.163197,0.25942254,7.9878974,-5.5412784,01 Distrito Nacional,2017,10,train
2.5914795,6.6265855,6.323447,3.1122234,6.6969337,0.315809,2.7400343,-4.104167,01 Distrito Nacional,2017,11,train
3.5844047,6.56555,5.716609,1.3210365,7.637997,0.21193157,3.8620722,-6.0881147,01 Distrito Nacional,2017,12,train
1.2754525,3.909722,5.137313,2.968511,8.58925,-0.29173636,3.3487315,-3.5879202,01 Distrito Nacional,2017,13,train
1.2742816,1.90785,2.3118048,6.1034575,3.7405455,-2.0441434,1.3761805,-3.450895,01 Distrito Nacional,2017,14,train
0.18699169,1.9761544,1.4690179,5.19171,5.698602,-2.0062337,3.9072442,-0.69909644,01 Distrito Nacional,2017,15,train
9.685345,4.8996987,-1.4176918,-5.2484837,1.9113668,-6.296017,4.004122,-13.027619,01 Distrito Nacional,2017,16,train
12.720159,6.2696853,-0.32512945,-1.7674125,-2.157227,-6.1164303,5.760667,-19.66104,01 Distrito Nacional,2017,17,train
-0.0023361684,2.9449484,6.850907,3.179104,1.8521332,-5.0890746,-7.087454,-6.996677,01 Distrito Nacional,2017,18,train
-0.71955746,1.6587672,3.9130695,3.1679301,4.27187,-2.5896275,-3.755026,-4.8956513,01 Distrito Nacional,2017,19,train
-1.914723,2.002671,6.680155,2.5781476,2.1440806,-0.25234202,-5.0085726,-5.454365,01 Distrito Nacional,2017,20,train
-2.763247,0.75801414,4.540357,5.065371,2.509168,-0.52355415,-2.9953272,-5.471338,01 Distrito Nacional,2017,21,train
-3.8207679,1.986444,4.944594,3.0377407,2.6880605,-0.2407957,-3.9202983,-5.801927,01 Distrito Nacional,2017,22,train
-3.270774,-1.827793,2.3409803,4.5190578,0.70700717,-1.217913,-3.53028,-7.512587,01 Distrito Nacional,2017,23,train
-2.9885693,-1.1136693,1.9748365,1.2929938,2.1468866,-0.50239956,-2.668775,-2.8940525,01 Distrito Nacional,2017,24,train
-4.1952147,-0.9492077,1.61129,2.1919675,1.6970395,-0.32204527,-2.3953404,-3.726903,01 Distrito Nacional,2017,25,train
-5.952233,-0.9845567,2.169305,3.4151986,-0.5089032,0.19329816,-2.8141863,-5.7219644,01 Distrito Nacional,2017,26,train
-10.442032,0.99151736,4.7061906,-4.007863,0.7050774,0.020969378,9.11163,-5.484287,01 Distrito Nacional,2017,27,train
-11.49134,0.79823446,5.419354,-7.0956464,-1.2439363,0.04232199,9.353492,-8.284394,01 Distrito Nacional,2017,28,train
-7.813862,-0.14341637,2.7795439,-3.1422408,1.9336445,1.1858078,7.7178383,-4.3814006,01 Distrito Nacional,2017,29,train
-11.58414,-0.39805707,4.2472234,-3.522966,-1.61488,0.15940468,8.462628,-10.22014,01 Distrito Nacional,2017,30,train
-7.115115,-0.29329628,2.1506171,-3.3097708,2.066331,0.9396003,7.579586,-4.104396,01 Distrito Nacional,2017,31,train
-8.75262,0.37205917,2.3217802,-4.2202992,-0.12982087,0.7586662,7.0442996,-5.8984427,01 Distrito Nacional,2017,32,train
-7.3303356,0.11479713,2.5834465,-4.797193,-0.1643895,1.5068382,5.7686777,-5.4510503,01 Distrito Nacional,2017,33,train
-10.31526,0.25130722,2.884047,-2.823713,-2.355193,0.8492424,7.6735473,-7.7054343,01 Distrito Nacional,2017,34,train
-4.318213,0.06971204,0.6772858,1.2915963,0.2726722,3.6713681,-0.059566125,-6.170509,01 Distrito Nacional,2017,35,train
-7.3774595,1.6717179,4.9466805,0.20210464,-0.30777097,5.724946,-1.1359545,-7.908567,01 Distrito Nacional,2017,36,train
